target,features_1,features_2,features_3,features_4,features_5,features_6,features_7,features_8,features_9,features_10
0,-4.02461055530161,-0.0655742749448855,-1.96406939848807,-0.768437621097112,-0.537059840730162,-0.529079210100192,-0.564272051866033,-0.25066023168401,-0.210307827242778,-0.31642582628761
1,-1.10063917214626,-0.826059571322179,-0.216055775470217,-1.13582221069271,-1.93118273916414,-0.918133257181435,-1.78866923142709,-2.70897604277787,-1.3857995187293,-2.46109560567952
0,-2.49591455045589,-2.145222809803,-0.782797778781161,-0.506821856032121,-0.179217410792927,-0.477379683759612,-2.35785175958818,-0.534999855644238,-0.457311523206583,-2.68702761798131
1,-0.610918839289936,-0.763424277324348,-0.0216970411228358,-0.167222640828696,-1.44319781776872,-0.832763865915069,-0.0800414214046896,-0.111550643455387,-0.0399272848020311,-0.429735150281234
1,-0.233988703927684,-1.315800536461,-0.259499251782097,-0.105272593643,-0.0271025437759696,-0.484383898781091,-0.703367222576866,-0.170919887306022,-0.469593002615468,-0.4828559277971
1,-1.34770641420554,-1.18075587799502,-0.551883456738464,-0.0386996520037751,-1.40237313018879,-0.0883058279082369,-2.23560108975267,-0.161774476826488,-0.153538673465388,-0.0346198228920252
1,-0.351846183960025,-1.30997040029323,-0.0255508869817264,-0.663792381567462,-0.739771995596309,-3.19704253238949,-1.72122764705318,-0.687648114355123,-1.67976590727198,-1.77244325411023
0,-3.49458244969533,-2.08828377902915,-0.941674765911506,-3.25893521899663,-0.385699991682489,-1.48031653989653,-2.02799684840359,-0.634375274258003,-0.140152971271435,-1.42374156654375
1,-2.06459515542371,-0.158289864647786,-1.19811272709656,-0.452018788506237,-2.28594426593555,-0.434527862921769,-1.11852459743892,-0.497599696110967,-0.458967740256594,-0.147518156718171
1,-1.37430633592944,-0.500689310651387,-0.272643769644391,-0.284542187732744,-1.02845291766899,-0.882699552621505,-1.65878784300323,-2.75762276482746,-1.88034317022751,-0.406030606877676
1,-1.7253129269125,-0.0882950744681954,-0.794001279450231,-1.32413071996232,-0.0928381150708813,-0.151119925635105,-1.37282748812119,-0.187685838940493,-0.724759086863591,-0.407670328215527
0,-0.175991038834555,-0.10950071179014,-0.435295095060686,-2.98850135287531,-0.281616641304743,-0.740780337642541,-1.34374003227535,-0.510910744771178,-0.077884244384089,-1.0485157292668
0,-0.0176130113686493,-0.0678169113124474,-0.780907111965821,-0.781633291590706,-2.24721241657309,-0.133336919444902,-1.92487704217099,-0.148502903648671,-0.626875574660329,-0.75949559059728
0,-0.0930523338461414,-1.28525503291252,-0.125641244694193,-1.04126545447019,-4.28231528344894,-0.774358287970074,-1.17924491574866,-2.86756336876242,-0.743362347062816,-0.904368292603035
0,-2.78599160255524,-0.127475756747134,-2.08027768820837,-0.700626316848657,-0.342861533662615,-0.62096532615347,-1.36010105935991,-1.30297381869335,-0.0642974157294705,-0.347893528681214
0,-0.0761841478260173,-0.589869707977619,-0.169051597938182,-2.72599378335969,-2.71503687265731,-0.102535695928945,-0.0515937082668019,-0.0146604009926089,-2.6776397859895,-0.663552825556865
0,-0.441082655093424,-1.34535350843996,-0.734344757202489,-1.45953691796235,-0.33032170404307,-0.100542578087561,-1.52365097184479,-0.106631296402908,-2.13411181739483,-1.71620559099318
1,-1.44144350337834,-1.39251782382016,-0.525794032388316,-0.612519235387315,-0.173014893765475,-2.85591710557918,-0.816369693801688,-0.628068537391973,-0.593043912638472,-0.759941932963746
0,-0.151021782242463,-1.98794662562076,-0.334586223524578,-0.0556190314932456,-1.08092479042996,-0.0368322284986366,-1.64274674269835,-1.10965088162778,-1.03515712215235,-0.332052772927943
1,-0.699536185501706,-0.378264250264358,-2.52762102884075,-0.828570101352493,-0.486342705591912,-1.1034186996638,-0.13245257571582,-3.75785837370663,-1.37260092671588,-0.358803408326907
1,-0.55868592973228,-0.131645926635706,-0.0653370707931672,-0.0493169901691055,-2.83852299787764,-0.73957234755272,-0.495824137377984,-1.18871009249295,-0.502772277581051,-0.0611959507354705
0,-0.122109141279678,-2.66952157935041,-1.68817405192311,-1.47589022325936,-0.394038971583595,-5.08512849483909,-0.250649697415723,-0.240316463024755,-2.52104102456114,-1.14556866197124
0,-1.14055947785287,-1.02026856843322,-0.242981287565365,-0.870481580819777,-1.79915190727377,-2.22441229763454,-0.22126280593919,-0.587493680597109,-0.0219779365718339,-0.992732138092995
1,-2.92835233342241,-1.27431987233372,-1.34445952746772,-1.64653244788617,-1.02510929804921,-1.09925892959708,-1.98410754399009,-0.736864991653042,-2.28408404395438,-0.233464433443506
1,-1.32306677398031,-0.182524655004319,-0.72985729494536,-1.35400831619195,-0.487570403974323,-1.18694230230867,-0.112550425504453,-0.880035289806079,-0.919459638049898,-1.00698987524731
1,-2.48662303696355,-0.26510817490744,-0.266723356002974,-0.0341385813229183,-1.16812193880374,-1.82772623586433,-0.197931053266779,-0.368369419373089,-2.73487748525763,-0.480406032964201
1,-0.560854209393038,-0.558677037364151,-0.455516566691973,-0.0010052401750698,-0.267415106442069,-0.126317650933622,-0.0442535744937408,-0.100054075359224,-1.66807221952128,-0.726974727834381
1,-1.2660313622339,-1.63817977366278,-0.375249936969685,-1.39064154694458,-0.901182691606566,-2.00841337968631,-0.355490295454388,-0.293856482452434,-1.95683010101377,-0.416100608468204
0,-1.38100612237363,-2.59523458580511,-0.551804235260937,-0.519125443303063,-2.7325066543222,-0.511652422617715,-3.37545137692554,-1.18053902239185,-1.58893906033273,-0.841355889449023
1,-0.848699540167281,-0.147441072524807,-1.64520331709304,-0.627590339232968,-1.01659937080587,-1.28166103777567,-1.26090800055662,-0.826676000141494,-1.88157541002646,-0.500555148591713
0,-0.773754397758065,-0.842523193910477,-0.533122228983787,-0.231779686259704,-0.342201629125805,-0.158661904821404,-0.633535189942702,-2.23998778496969,-2.78631889685618,-1.93890842019505
1,-1.42517125815628,-1.07489125693339,-0.0483903653196555,-2.69881677946274,-1.37600482289664,-1.07334100320193,-0.268337567223446,-0.318413071589619,-0.573089444849711,-1.04253916499543
0,-0.415167070333302,-0.797824322722474,-0.336906670419979,-0.433948931784551,-1.96152828650881,-0.257849432888804,-0.67370258941857,-2.21738865324848,-2.81638404280999,-0.520891418482089
1,-2.4271996213627,-0.202039099284982,-6.24197803926254,-0.127085677176616,-0.44776942487668,-0.106926511781961,-0.0273335901870054,-0.685245013448518,-0.0987406865208097,-0.035025604977502
0,-0.213201795397022,-0.126565092509487,-0.360336746338937,-1.11827701145042,-0.17079868871116,-0.23242703584658,-3.45601845708142,-1.64333125044581,-4.26782232400244,-1.64863791489864
0,-1.70952712429045,-0.462614322918508,-0.920902726173116,-1.83521043802334,-1.96069208643705,-1.22588117501616,-0.168932235407395,-0.00886836478533502,-0.351918033527498,-1.12031351100642
0,-0.244274022807284,-0.262342792748699,-2.12858184576943,-0.674260375423033,-0.505541923926017,-0.0926684299887728,-1.38975705864867,-1.35208177359554,-0.856677142474206,-0.280620500836769
0,-0.00384307277591794,-2.11076754779421,-3.90472768550315,-6.7617027672104,-1.13494521218571,-2.88115333592304,-0.794661300767391,-1.1250079575461,-1.83029269384704,-0.820540619816483
1,-0.353647431237139,-0.398203990500224,-0.523397446621362,-0.55665664064025,-0.796107519969084,-0.327236025437982,-0.0684654732443941,-4.19829214553889,-1.83217248678664,-0.295815589510675
1,-0.0151235533255528,-0.500422540426582,-0.214189582150513,-0.105562063631789,-0.904273115418861,-0.878622150138691,-0.409385719430595,-0.836501629554285,-1.33448427375609,-0.499074985107384
1,-0.304957541491352,-0.242250767131035,-0.299163544923115,-0.50377142641495,-1.84698149212082,-1.37874440765217,-0.523222743396253,-0.904147807605564,-0.768479320028964,-3.76744197616049
0,-0.524694497340507,-5.65684040337198,-0.703076119083172,-2.31843763133169,-2.02950837011511,-0.00219888299579684,-2.07990191502712,-3.22114155493548,-0.3503857166179,-1.8131432973792
1,-0.336560724080216,-1.14914104174668,-1.62932598926708,-0.231086247128263,-1.27310797205842,-1.33777546714349,-0.169519462135229,-3.73746591741029,-1.99689608325352,-0.0234929487873261
0,-0.536943385434152,-0.807723491095239,-1.30084942956875,-1.30336907411528,-0.309677233640247,-0.230916011204281,-0.314667804522019,-1.91026467320446,-0.92293676727723,-0.193665087065985
1,-0.542863423463853,-0.365313038785854,-0.181677280460744,-0.169945930565414,-0.577699416821237,-1.04978447324518,-0.318587046167219,-0.197721790787991,-0.633798436566096,-0.351494190794108
1,-0.452996383878019,-0.381099621159175,-0.241251011383679,-2.58109295336946,-0.906145063738124,-1.67751605620328,-0.491007846549164,-0.217739991664997,-0.414414897629866,-0.64733744056325
0,-0.188100443778599,-1.19223472345441,-0.829248324586038,-0.278903250930118,-0.613292958983816,-0.0734046659752908,-1.69686622701041,-1.01553875532206,-1.22133526357999,-2.82454164416097
0,-0.254511377533809,-1.45757454466275,-0.161017100651063,-0.990261671004267,-0.863848757612008,-0.452466551828083,-0.465997935777894,-1.15366458908525,-3.40814197838406,-2.3627252946598
1,-0.765478788458852,-0.823637424638307,-0.456541698241045,-0.055183723637954,-0.25801075191814,-0.366051640130263,-1.41742696983447,-0.133964285558335,-0.830508829687088,-0.258990893054106
1,-1.71181763620692,-0.278272021822787,-3.6955246120975,-0.345641336354241,-0.568796912483985,-0.723954998572566,-0.131030679268545,-1.22977747609873,-0.369030416026744,-0.46430357838103
